"ACCTYR","ACCTMO","KW-Units","KWH-Units","GAS-DKT-Units","WATER-MCF","ELEC","GAS","Water-Sewer"
2014,8,9127.93,4380666,10680.7,1645.38,329018.89,103931.68,86381.44
2014,9,9611.17,4556715,18715.1,1758.09,337720.18,139576.37,92131.49
2014,10,8993.57,4608974,26192.1,2061.85,333390.62,172499.77,107388.38
2014,11,8304.1,4477575,45165.5,2365.12,294538.23,260963.69,123502.4
2014,12,8070.24,4283351,45337.2,1919.32,275574.39,267477.54,100484.21
2015,1,8241.26,4378815,45267.9,1506.62,281138.71,256918.76,80021.57
2015,2,8365.92,4215365,38108.3,1751.38,283563.61,225784.12,91853.07
2015,3,8694.14,4450265,32040.3,1870.94,309900.28,196762.69,97857.17
2015,4,8848.28,4398356,30235.1,1844.8,308889.07,188465.28,97071.2
2015,5,8505.82,4009014,21714.2,1678.27,310732.74,151119.66,88093.55
2015,6,8941.54,4190330,11339.9,1425.78,332198.28,106220.57,75525.31
2015,7,8625.21,4330594,11146.7,1618.43,326971.3,104969.11,84792.51
2015,8,9452.38,4514272,11726.6,1596.64,324378.15,107477.97,86014.01
2015,9,9432.05,4638792,15503.4,2006.35,349708.69,124212.61,107570.04
2015,10,9145.01,4669868,24654.4,2043.57,351532.39,169423.85,109141.24
2015,11,8210.61,4431441,42855.6,1958.5,292625.05,247579.78,104870.83
2015,12,8168.18,4302664,47390.2,1955.7,266741.73,267588.8,110732.69
